|   Type    |     P     |     N     |     TP     |     TN     |     FP     |     FN     |     TPR     |     TNR     |     FPR     |     FNR     |     r     |     p     |     F1     |     Acc     |     Err     |
==================================================================================================================================================================================================================
|   fold 1  |     10    |     2     |     9      |     1      |     1      |     1      |     90.0%   |     50.0%   |     50.0%   |     10.0%   |     90.0% |     90.0% |     90.0%  |     83.33%  |     16.67%  |
|   fold 2  |     4     |     8     |     4      |     6      |     2      |     0      |     100.0%  |     75.0%   |     25.0%   |     0.0%    |     100.0%|     66.67%|     80.0%  |     83.33%  |     16.67%  |
|   fold 3  |     5     |     7     |     4      |     7      |     0      |     1      |     80.0%   |     100.0%  |     0.0%    |     20.0%   |     80.0% |     100.0%|     88.89% |     91.67%  |     8.33%   |
|   fold 4  |     8     |     4     |     8      |     4      |     0      |     0      |     100.0%  |     100.0%  |     0.0%    |     0.0%    |     100.0%|     100.0%|     100.0% |     100.0%  |     0.0%    |
|   fold 5  |     7     |     5     |     6      |     5      |     0      |     1      |     85.71%  |     100.0%  |     0.0%    |     14.29%  |     85.71%|     100.0%|     92.31% |     91.67%  |     8.33%   |
|   fold 6  |     3     |     9     |     1      |     9      |     0      |     2      |     33.33%  |     100.0%  |     0.0%    |     66.67%  |     33.33%|     100.0%|     50.0%  |     83.33%  |     16.67%  |
|   fold 7  |     3     |     9     |     3      |     9      |     0      |     0      |     100.0%  |     100.0%  |     0.0%    |     0.0%    |     100.0%|     100.0%|     100.0% |     100.0%  |     0.0%    |
|   fold 8  |     2     |     10    |     2      |     10     |     0      |     0      |     100.0%  |     100.0%  |     0.0%    |     0.0%    |     100.0%|     100.0%|     100.0% |     100.0%  |     0.0%    |
|   fold 9  |     5     |     7     |     5      |     7      |     0      |     0      |     100.0%  |     100.0%  |     0.0%    |     0.0%    |     100.0%|     100.0%|     100.0% |     100.0%  |     0.0%    |
|   fold 10 |     3     |     9     |     2      |     9      |     0      |     1      |     66.67%  |     100.0%  |     0.0%    |     33.33%  |     66.67%|     100.0%|     80.0%  |     91.67%  |     8.33%   |
|   total   |     50    |     70    |     44     |     67     |     3      |     6      |     88.0%   |     95.71%  |     4.29%   |     12.0%   |     88.0% |     93.62%|     90.72% |     92.5%   |     7.5%    |
