|    Type     |     P     |     N     |     TP     |     TN     |     FP     |     FN     |     TPR     |     TNR     |     FPR     |     FNR     |     r     |     p     |     F1     |     Acc    |     Err     |
===================================================================================================================================================================================================================
|    fold 1   |     10    |     2     |     0      |     2      |     0      |     10     |     0.0%    |   100.0%    |    0.0%     |    100.0%   |   0.0%    |   nan%    |    nan%    |   16.67%   |   83.33%    |
|    fold 2   |     4     |     8     |     0      |     8      |     0      |     4      |     0.0%    |   100.0%    |    0.0%     |    100.0%   |   0.0%    |   nan%    |    nan%    |   66.67%   |   33.33%    |
|    fold 3   |     5     |     7     |     0      |     7      |     0      |     5      |     0.0%    |   100.0%    |    0.0%     |    100.0%   |   0.0%    |   nan%    |    nan%    |   58.33%   |   41.67%    |
|    fold 4   |     8     |     4     |     0      |     4      |     0      |     8      |     0.0%    |   100.0%    |    0.0%     |    100.0%   |   0.0%    |   nan%    |    nan%    |   33.33%   |   66.67%    |
|    fold 5   |     7     |     5     |     0      |     5      |     0      |     7      |     0.0%    |   100.0%    |    0.0%     |    100.0%   |   0.0%    |   nan%    |    nan%    |   41.67%   |   58.33%    |
|    fold 6   |     3     |     9     |     0      |     9      |     0      |     3      |     0.0%    |   100.0%    |    0.0%     |    100.0%   |   0.0%    |   nan%    |    nan%    |   75.0%    |   25.0%     |
|    fold 7   |     3     |     9     |     0      |     9      |     0      |     3      |     0.0%    |   100.0%    |    0.0%     |    100.0%   |   0.0%    |   nan%    |    nan%    |   75.0%    |   25.0%     |
|    fold 8   |     2     |     10    |     0      |     10     |     0      |     2      |     0.0%    |   100.0%    |    0.0%     |    100.0%   |   0.0%    |   nan%    |    nan%    |   83.33%   |   16.67%    |
|    fold 9   |     5     |     7     |     0      |     7      |     0      |     5      |     0.0%    |   100.0%    |    0.0%     |    100.0%   |   0.0%    |   nan%    |    nan%    |   58.33%   |   41.67%    |
|    fold 10  |     3     |     9     |     0      |     9      |     0      |     3      |     0.0%    |   100.0%    |    0.0%     |    100.0%   |   0.0%    |   nan%    |    nan%    |   75.0%    |   25.0%     |
|    total    |     50    |     70    |     0      |     70     |     0      |     50     |     0.0%    |   100.0%    |    0.0%     |    100.0%   |   0.0%    |   nan%    |    nan%    |   58.33%   |   41.67%    |
