|    Type   |     P     |     N     |     TP     |     TN     |     FP     |     FN     |     TPR     |     TNR     |     FPR     |     FNR     |     r     |     p     |     F1     |     Acc     |     Err     |
==================================================================================================================================================================================================================
|   fold 1  |     10    |     2     |     10     |     1      |     1      |     0      |     100.0%  |     50.0%   |     50.0%   |     0.0%    |   100.0%  |   90.91%  |  95.24%    |   91.67%    |    8.33%    |
|   fold 2  |     4     |     8     |     4      |     7      |     1      |     0      |     100.0%  |     87.5%   |     12.5%   |     0.0%    |   100.0%  |   80.0%   |  88.89%    |   91.67%    |    8.33%    |
|   fold 3  |     5     |     7     |     5      |     7      |     0      |     0      |     100.0%  |     100.0%  |     0.0%    |     0.0%    |   100.0%  |   100.0%  |  100.0%    |   100.0%    |    0.0%     |
|   fold 4  |     8     |     4     |     8      |     4      |     0      |     0      |     100.0%  |     100.0%  |     0.0%    |     0.0%    |   100.0%  |   100.0%  |  100.0%    |   100.0%    |    0.0%     |
|   fold 5  |     7     |     5     |     6      |     4      |     1      |     1      |     85.71%  |     80.0%   |     20.0%   |     14.29%  |   85.71%  |   85.71%  |  85.71%    |   83.33%    |    16.67%   |
|   fold 6  |     3     |     9     |     3      |     9      |     0      |     0      |     100.0%  |     100.0%  |     0.0%    |     0.0%    |   100.0%  |   100.0%  |  100.0%    |   100.0%    |    0.0%     |
|   fold 7  |     3     |     9     |     3      |     9      |     0      |     0      |     100.0%  |     100.0%  |     0.0%    |     0.0%    |   100.0%  |   100.0%  |  100.0%    |   100.0%    |    0.0%     |
|   fold 8  |     2     |     10    |     2      |     10     |     0      |     0      |     100.0%  |     100.0%  |     0.0%    |     0.0%    |   100.0%  |   100.0%  |  100.0%    |   100.0%    |    0.0%     |
|   fold 9  |     5     |     7     |     5      |     7      |     0      |     0      |     100.0%  |     100.0%  |     0.0%    |     0.0%    |   100.0%  |   100.0%  |  100.0%    |   100.0%    |    0.0%     |
|   fold 10 |     3     |     9     |     3      |     9      |     0      |     0      |     100.0%  |     100.0%  |     0.0%    |     0.0%    |   100.0%  |   100.0%  |  100.0%    |   100.0%    |    0.0%     |
|   total   |     50    |     70    |     49     |     67     |     3      |     1      |     98.0%   |     95.71%  |     4.29%   |     2.0%    |   98.0%   |   94.23%  |  96.08%    |   96.67%    |    3.33%    |
